day,survival,lower_surv,upper_surv
1,0.99606077,0.993560609,0.997506975
2,0.992137057,0.987162683,0.995020166
3,0.9882288,0.980805956,0.992539556
4,0.984335939,0.974490163,0.99006513
5,0.980458413,0.968215039,0.987596873
6,0.976596161,0.961980324,0.985134769
7,0.972749124,0.955785756,0.982678804
8,0.968917241,0.949631078,0.980228961
9,0.965100453,0.943516031,0.977785226
10,0.9612987,0.937440363,0.975347583
11,0.957511923,0.931403817,0.972916018
12,0.953740063,0.925406144,0.970490514
13,0.949983061,0.919447091,0.968071057
14,0.946240858,0.913526412,0.965657632
15,0.942513398,0.907643858,0.963250224
16,0.93880062,0.901799184,0.960848817
17,0.935102468,0.895992146,0.958453397
18,0.931418884,0.890222502,0.956063949
19,0.92774981,0.884490011,0.953680458
20,0.92409519,0.878794433,0.951302909
21,0.920454966,0.873135532,0.948931287
22,0.916829082,0.867513071,0.946565578
23,0.913217481,0.861926815,0.944205766
24,0.909620107,0.85637653,0.941851838
25,0.906036904,0.850861987,0.939503778
26,0.902467815,0.845382954,0.937161572
27,0.898912787,0.839939202,0.934825205
28,0.895371762,0.834530505,0.932494662
29,0.891844686,0.829156636,0.93016993
30,0.888331505,0.823817372,0.927850993
31,0.884832162,0.81851249,0.925537838
32,0.881346604,0.813241767,0.923230449
33,0.877874777,0.808004985,0.920928812
34,0.874416626,0.802801925,0.918632914
35,0.870972097,0.797632369,0.916342739
36,0.867541138,0.792496102,0.914058274
37,0.864123693,0.78739291,0.911779504
38,0.860719711,0.782322579,0.909506415
39,0.857329137,0.777284898,0.907238993
40,0.85395192,0.772279656,0.904977224
41,0.850588007,0.767306645,0.902721093
42,0.847237345,0.762365657,0.900470587
43,0.843899882,0.757456487,0.898225692
44,0.840575566,0.752578928,0.895986393
45,0.837264345,0.747732778,0.893752676
46,0.833966168,0.742917834,0.891524529
47,0.830680983,0.738133895,0.889301936
48,0.827408739,0.733380762,0.887084884
49,0.824149385,0.728658236,0.88487336
50,0.820902871,0.723966121,0.882667349
51,0.817669145,0.71930422,0.880466837
52,0.814448158,0.714672338,0.878271811
53,0.811239859,0.710070283,0.876082258
54,0.808044198,0.705497863,0.873898163
55,0.804861126,0.700954886,0.871719513
56,0.801690592,0.696441163,0.869546295
57,0.798532548,0.691956506,0.867378494
58,0.795386945,0.687500727,0.865216098
59,0.792253732,0.683073641,0.863059093
60,0.789132862,0.678675063,0.860907465
61,0.786024286,0.674304808,0.858761202
62,0.782927955,0.669962696,0.856620289
63,0.779843822,0.665648544,0.854484713
64,0.776771837,0.661362172,0.852354462
65,0.773711954,0.657103403,0.850229521
66,0.770664124,0.652872057,0.848109877
67,0.767628301,0.648667958,0.845995518
68,0.764604436,0.644490931,0.843886431
69,0.761592483,0.640340802,0.841782601
70,0.758592394,0.636217397,0.839684016
71,0.755604124,0.632120544,0.837590663
72,0.752627625,0.628050072,0.835502529
73,0.749662852,0.624005812,0.8334196
74,0.746709757,0.619987595,0.831341864
75,0.743768295,0.615995252,0.829269308
76,0.74083842,0.612028617,0.82720192
77,0.737920087,0.608087526,0.825139685
78,0.73501325,0.604171812,0.823082591
79,0.732117863,0.600281313,0.821030626
80,0.729233882,0.596415867,0.818983776
81,0.726361262,0.592575312,0.816942029
82,0.723499958,0.588759488,0.814905372
83,0.720649925,0.584968235,0.812873793
84,0.717811118,0.581201395,0.810847278
85,0.714983495,0.577458812,0.808825816
86,0.71216701,0.573740329,0.806809393
87,0.70936162,0.57004579,0.804797997
88,0.706567281,0.566375043,0.802791616
89,0.70378395,0.562727932,0.800790237
90,0.701011583,0.559104307,0.798793847
91,0.698250137,0.555504015,0.796802434
92,0.695499569,0.551926907,0.794815986
93,0.692759835,0.548372834,0.79283449
94,0.690030895,0.544841647,0.790857934
95,0.687312704,0.541333198,0.788886305
96,0.684605221,0.537847342,0.786919592
97,0.681908403,0.534383932,0.784957782
98,0.679222209,0.530942825,0.783000863
99,0.676546596,0.527523877,0.781048822
100,0.673881523,0.524126944,0.779101648
101,0.671226949,0.520751885,0.777159328
102,0.668582831,0.51739856,0.775221851
103,0.665949129,0.514066828,0.773289204
104,0.663325802,0.510756551,0.771361374
105,0.660712809,0.50746759,0.769438351
106,0.658110109,0.504199807,0.767520123
107,0.655517661,0.500953067,0.765606676
108,0.652935426,0.497727235,0.763697999
109,0.650363363,0.494522174,0.761794081
110,0.647801432,0.491337752,0.75989491
111,0.645249593,0.488173836,0.758000473
112,0.642707806,0.485030294,0.756110759
113,0.640176032,0.481906994,0.754225756
114,0.637654231,0.478803806,0.752345453
115,0.635142364,0.475720601,0.750469837
116,0.632640392,0.47265725,0.748598897
117,0.630148276,0.469613625,0.746732621
118,0.627665976,0.466589599,0.744870998
119,0.625193455,0.463585046,0.743014016
120,0.622730674,0.460599841,0.741161664
121,0.620277595,0.457633858,0.73931393
122,0.617834178,0.454686975,0.737470802
123,0.615400387,0.451759067,0.735632269
124,0.612976183,0.448850014,0.733798319
125,0.610561529,0.445959693,0.731968942
126,0.608156386,0.443087984,0.730144125
127,0.605760718,0.440234767,0.728323858
128,0.603374487,0.437399923,0.726508128
129,0.600997656,0.434583334,0.724696925
130,0.598630187,0.431784882,0.722890238
131,0.596272045,0.42900445,0.721088055
132,0.593923192,0.426241922,0.719290364
133,0.591583592,0.423497184,0.717497156
134,0.589253208,0.42077012,0.715708417
135,0.586932004,0.418060616,0.713924138
136,0.584619943,0.41536856,0.712144308
137,0.582316991,0.41269384,0.710368914
138,0.58002311,0.410036342,0.708597947
139,0.577738265,0.407395958,0.706831395
140,0.575462421,0.404772576,0.705069247
141,0.573195542,0.402166087,0.703311492
142,0.570937592,0.399576382,0.701558119
143,0.568688538,0.397003353,0.699809117
144,0.566448342,0.394446893,0.698064475
145,0.564216972,0.391906896,0.696324183
146,0.561994391,0.389383254,0.69458823
147,0.559780566,0.386875863,0.692856604
148,0.557575461,0.384384617,0.691129295
149,0.555379043,0.381909415,0.689406293
150,0.553191277,0.37945015,0.687687586
151,0.551012129,0.377006722,0.685973164
152,0.548841565,0.374579029,0.684263016
153,0.546679552,0.372166968,0.682557131
154,0.544526055,0.369770439,0.680855499
155,0.542381041,0.367389342,0.679158109
156,0.540244478,0.365023579,0.677464951
157,0.53811633,0.362673049,0.675776015
158,0.535996566,0.360337655,0.674091288
159,0.533885152,0.3580173,0.672410762
160,0.531782055,0.355711886,0.670734425
161,0.529687243,0.353421318,0.669062268
162,0.527600683,0.3511455,0.667394279
163,0.525522342,0.348884337,0.665730448
164,0.523452189,0.346637734,0.664070766
165,0.52139019,0.344405598,0.662415221
166,0.519336314,0.342187836,0.660763803
167,0.517290528,0.339984354,0.659116503
168,0.515252802,0.337795062,0.657473309
169,0.513223102,0.335619867,0.655834212
170,0.511201398,0.33345868,0.654199201
171,0.509187658,0.331311409,0.652568266
172,0.507181851,0.329177965,0.650941397
173,0.505183944,0.327058259,0.649318584
174,0.503193908,0.324952203,0.647699817
175,0.501211712,0.322859709,0.646085085
176,0.499237323,0.320780689,0.644474379
177,0.497270712,0.318715056,0.642867688
178,0.495311848,0.316662725,0.641265003
179,0.493360701,0.31462361,0.639666314
180,0.491417239,0.312597626,0.63807161
181,0.489481434,0.310584687,0.636480881
182,0.487553253,0.308584711,0.634894119
183,0.485632669,0.306597613,0.633311312
184,0.48371965,0.304623311,0.631732451
185,0.481814167,0.302661722,0.630157526
186,0.47991619,0.300712765,0.628586528
187,0.478025689,0.298776358,0.627019446
188,0.476142636,0.29685242,0.625456271
189,0.474267,0.294940871,0.623896993
190,0.472398753,0.293041632,0.622341602
191,0.470537866,0.291154622,0.620790089
192,0.468684309,0.289279763,0.619242444
193,0.466838053,0.287416978,0.617698658
194,0.46499907,0.285566187,0.616158719
195,0.463167332,0.283727315,0.614622621
196,0.461342809,0.281900284,0.613090351
