"","year","Sex","Age","EverPos","Sample.ID","Status"
"1",2021,"M","4.5","Pos","101","Pos"
"2",2021,"F","2.5","Pos","103","Pos"
"3",2021,"F","2.5","Neg","105","Neg"
"4",2021,"F","2.5","Neg","107","Neg"
"5",2021,"M","1.5","Neg","109","Neg"
"6",2021,"F","2.5","Neg","113","Neg"
"7",2021,"F","5.5","Neg","115","Neg"
"8",2021,"F","4.5","Neg","119","Neg"
"9",2021,"M","8 mo","Pos","121","Pos"
"10",2021,"F","3.5","Pos","123","Pos"
"11",2021,"F","3.5","Neg","125","Neg"
"12",2021,"M","8 mo","Neg","127","Neg"
"13",2021,"M","2.5","Pos","129","Pos"
"14",2021,"F","5.5","Neg","131","Neg"
"15",2021,"F","6.5+","Pos","133","Pos"
"16",2021,"F","3.5","Pos","135","Pos"
"17",2021,"M","1.5","Pos","137","Pos"
"18",2021,"M","5.5","Neg","139","Neg"
"19",2021,"F","3.5","Pos","141","Pos"
"20",2021,"M","1.5","Pos","143","Pos"
"21",2021,"F","2.5","Pos","145","Pos"
"22",2021,"M","2.5","Pos","147","Pos"
"23",2021,"M","8mo","Neg","149","Neg"
"24",2021,"M","8 mo","Neg","151","Neg"
"25",2021,"F","8 mo","Pos","153","Pos"
"26",2021,"F","3.5","Neg","157","Neg"
"27",2021,"F","2.5","Neg","159","Neg"
"28",2021,"F","3.5","Neg","161","Neg"
"29",2021,"F","3.5","Neg","163","Neg"
"30",2021,"F","2.5","Pos","165","Pos"
"31",2021,"F","6.5+","Neg","169","Neg"
"32",2021,"F","2.5","Neg","171","Neg"
"33",2021,"F","3.5","Neg","173","Neg"
"34",2021,"M","2.5","Neg","175","Neg"
"35",2021,"F","3.5","Pos","177","Pos"
"36",2021,"F","6.5+","Neg","179","Neg"
"37",2021,"F","5.5","Neg","181","Neg"
"38",2021,"F","5.5","Neg","183","Neg"
"39",2021,"M","5.5","Pos","187","Pos"
"40",2021,"M","8 mo","Neg","189","Neg"
"41",2021,"F","6.5+","Neg","191","Neg"
"42",2021,"M","2.5","Neg","195","Neg"
"43",2021,"F","2.5","Neg","197","Neg"
"44",2021,"M","8 mo","Pos","199","Pos"
"45",2021,"F","3.5","Pos","201","Pos"
"46",2021,"M","1.5","Pos","203","Pos"
"47",2021,"M","8 mo","Neg","213","Neg"
"48",2021,"F","2.5","Neg","215","Neg"
"49",2021,"M","8 mo","Neg","217","Neg"
"50",2021,"F","8 mo","Neg","219","Neg"
"51",2021,"F","2.5","Neg","221","Neg"
"52",2021,"F","8mo","Neg","223","Neg"
"53",2021,"M","2.5","Pos","225","Pos"
"54",2021,"F","2.5","Neg","227","Neg"
"55",2021,"F","8 mo","Neg","229","Neg"
"56",2021,"M","8mo","Neg","231","Neg"
"57",2021,"M","8 mo","Neg","233","Neg"
"58",2021,"F","2.5","Neg","235","Neg"
"59",2021,"F","3.5","Pos","237","Pos"
"60",2021,"F","2.5","Neg","239","Neg"
"61",2021,"F","4.5","Neg","243","Neg"
"62",2021,"F","6.5+","Neg","245","Neg"
"63",2021,"M","8 mo","Pos","247","Pos"
"64",2021,"M","2.5","Pos","251","Pos"
"65",2021,"F","6.5+","Neg","261","Neg"
"66",2021,"F","3.5","Pos","263","Pos"
"67",2021,"F","5.5","Neg","265","Neg"
"68",2021,"F","8 mo","Pos","267","Pos"
"69",2021,"M","1.5","Pos","269","Pos"
"70",2021,"F","8 mo","Neg","271","Neg"
"71",2021,"F","2.5","Neg","275","Neg"
"72",2021,"F","3.5","Pos","277","Pos"
"73",2021,"F","2.5","Neg","279","Neg"
"74",2021,"F","3.5","Pos","281","Pos"
"75",2021,"M","8mo","Neg","283","Neg"
"76",2021,"M","8 mo","Neg","285","Neg"
"77",2021,"F","8 mo","Neg","287","Neg"
"78",2021,"F","4.5","Pos","289","Pos"
"79",2021,"F","3.5","Pos","291","Pos"
"80",2021,"F","6.5+","Neg","295","Neg"
